method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,scholar,600,15,57,0.037302,80,80,0.756394,0.199868,0.114474,1.000000,4.986232
SA_MOEAD,scholar,600,16,58,0.032272,56,56,0.765242,0.184997,0.092830,1.000000,5.037887
SA_MOEAD,scholar,600,17,59,0.045392,97,97,0.790943,0.159534,0.120652,1.000000,5.145277
SA_MOEAD,scholar,600,18,60,0.038435,89,89,0.768251,0.160668,0.106939,1.000000,4.986993
SA_MOEAD,scholar,600,19,61,0.037704,86,86,0.870491,0.181240,0.068958,1.000000,4.635191
SA_MOEAD,scholar,600,20,62,0.035717,99,99,0.713751,0.168588,0.103378,1.000000,5.023614
SA_MOEAD,scholar,600,21,63,0.048428,98,98,0.791712,0.143453,0.121955,1.000000,5.160891
SA_MOEAD,scholar,600,22,64,0.043843,94,94,0.768012,0.195378,0.115300,1.000000,5.593539
SA_MOEAD,scholar,600,23,65,0.030533,94,94,0.786484,0.148602,0.081773,1.000000,5.200885
SA_MOEAD,scholar,600,24,66,0.042015,98,98,0.796586,0.145935,0.109829,1.000000,5.808697
SA_MOEAD,scholar,600,25,67,0.039193,69,69,0.758066,0.172730,0.094473,1.000000,5.174756
SA_MOEAD,scholar,600,26,68,0.034839,93,93,0.759744,0.191671,0.087610,1.000000,5.074431
SA_MOEAD,scholar,600,27,69,0.038252,98,98,0.804821,0.152467,0.115847,1.000000,4.904671
SA_MOEAD,scholar,600,28,70,0.034084,78,78,0.836469,0.153077,0.070364,1.000000,5.058437
SA_MOEAD,scholar,600,29,71,0.033103,63,63,0.691472,0.203665,0.093404,1.000000,5.178734
SA_MOEAD,scholar,600,30,72,0.036197,81,81,0.750082,0.183933,0.084466,1.000000,5.120675
SA_MOEAD,tourist,300,1,43,0.035226,92,92,0.447214,0.012826,0.144143,1.000000,4.738155
SA_MOEAD,tourist,300,2,44,0.036322,97,97,0.447214,0.029046,0.141730,1.000000,4.731340
SA_MOEAD,tourist,300,3,45,0.036513,94,94,0.447214,0.023750,0.142846,1.000000,5.377971
